pValue,smiles,data
7.64,Oc1ccc([C@@H]2Sc3cc(Cl)c(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.33,CCc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,ERalpha_ic50
7.42,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,ERalpha_ic50
7.18,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,ERalpha_ic50
8.42,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCOCC3)cc2)c1,ERalpha_ic50
8.92,Cc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,ERalpha_ic50
5.77,CC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,ERalpha_ic50
7.51,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,ERalpha_ic50
7.41,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(F)c1,ERalpha_ic50
8.92,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCNC3CCCCCC3)cc2)c1,ERalpha_ic50
8.42,Oc1ccc2c(c1)SC(c1ccc(F)cc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
6.26,O=c1c2ccc(O)cc2oc2c1oc1cc(O)ccc12,ERalpha_ic50
5.56,COc1cc(O)c2c(=O)c3c(oc2c1)oc1cc(O)ccc13,ERalpha_ic50
5.81,N#Cc1cc(O)cc2c1oc1c(=O)c3c(O)cc(O)cc3oc12,ERalpha_ic50
5.43,O=c1c2sc3ccccc3c2oc2cc(O)cc(O)c12,ERalpha_ic50
7.72,CC1=C(c2ccc(O)cc2)C2(Cc3ccccc3C2)c2ccc(O)cc21,ERalpha_ic50
5.9,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,ERalpha_ic50
5.5,CC1=CC[C@@]2(CO)COC(c3ccc(O)cc3)[C@@H]1C2,ERalpha_ic50
7.24,Oc1ccc2c(c1)CC1(C2)C(c2ccccc2)=Cc2ccccc21,ERalpha_ic50
5.82,O=c1c2cc(O)ccc2oc2c1oc1cc(O)ccc12,ERalpha_ic50
7.62,Oc1ccc2c(c1)C=C(c1ccccc1)C21Cc2ccccc2C1,ERalpha_ic50
7.55,O=c1c2c(O)cc(O)cc2oc2oc3cc(O)ccc3c12,ERalpha_ic50
5.9,O=c1c2oc3c(Br)cc(O)cc3c2oc2cc(O)cc(O)c12,ERalpha_ic50
5.53,O=c1c2oc3ccc(O)cc3c2oc2cc(O)cc(O)c12,ERalpha_ic50
6.26,OC[C@@]12CC=C[C@@H](C1)[C@H](c1ccc(O)cc1)CC2,ERalpha_ic50
7.51,Oc1cccc(C2=Cc3ccc(O)cc3C23Cc2ccccc2C3)c1,ERalpha_ic50
7.17,O=c1c2oc3cc(O)ccc3c2oc2cc(O)cc(O)c12,ERalpha_ic50
6.75,O=c1c2cc(O)ccc2oc2c1oc1ccc(O)cc12,ERalpha_ic50
5.77,O=C(O)CCCOc1ccc(/C(=C/CCc2ccccc2)c2cccc(O)c2)cc1,ERalpha_ic50
6.3,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCC(=O)O)cc1)c1ccccc1,ERalpha_ic50
5.84,CC/C(=C(/c1ccc(OCC(=O)O)cc1)c1cccc(O)c1)c1ccccc1,ERalpha_ic50
6.63,O=C(O)CCCOc1ccc(/C(=C/CCc2ccccc2)c2ccc(O)cc2)cc1,ERalpha_ic50
5.22,CC[C@](C)(c1ccccc1)[C@@H](c1ccc(O)cc1)c1ccc(OCCCC(=O)O)cc1,ERalpha_ic50
5.98,O/N=C1\c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,ERalpha_ic50
5.45,C[C@@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,ERalpha_ic50
6.28,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccccc1,ERalpha_ic50
7.85,Cc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
5.85,C[C@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,ERalpha_ic50
6.31,O=C1c2ccc(O)cc2O[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,ERalpha_ic50
7.17,CCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
7.15,CCCCCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
6.38,COc1cc([C@@H]2C(=O)c3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)ccc1O,ERalpha_ic50
7.31,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,ERalpha_ic50
7.24,O=C1c2c(Cl)cc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,ERalpha_ic50
6.83,COc1cc(O)ccc1[C@@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,ERalpha_ic50
7.05,CC(C)[C@@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,ERalpha_ic50
6.75,O=C1c2ccccc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,ERalpha_ic50
7.96,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,ERalpha_ic50
6.96,CC(C)[C@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,ERalpha_ic50
6.26,C[C@@H]1C(=O)c2c(O)cc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,ERalpha_ic50
6.98,O=C1c2c(F)cc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,ERalpha_ic50
6.19,CCCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
