ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
650,3.832,0.6185,3.816,0.6228
651,3.844,0.6226,3.835,0.6254
652,3.774,0.6598,3.774,0.6598
653,3.777,0.6476,3.754,0.6508
654,3.726,0.6785,3.721,0.6805
655,3.723,0.6886,3.723,0.6886
656,4.156,0.5708,4.151,0.5742
657,4.103,0.6079,4.094,0.6112
658,4.213,0.6014,4.19,0.6045
659,3.806,0.6403,3.793,0.6416
660,3.793,0.6437,3.793,0.6437
661,3.765,0.6541,3.738,0.6571
662,3.815,0.6225,3.815,0.6225
663,3.921,0.6515,3.921,0.6515
664,3.894,0.6531,3.894,0.6531
665,3.855,0.673,3.837,0.6768
666,3.799,0.6508,3.798,0.6595
667,3.803,0.6526,3.775,0.6539
668,3.658,0.6673,3.656,0.6707
669,4.082,0.5811,4.069,0.585
670,3.735,0.6587,3.718,0.659
671,3.752,0.6574,3.752,0.6574
672,3.694,0.692,3.689,0.6933
673,3.697,0.69,3.675,0.6927
674,3.757,0.6761,3.75,0.679
675,4.055,0.5357,4.047,0.5386
676,3.872,0.5997,3.843,0.6019
677,3.884,0.5827,3.857,0.5832
678,3.841,0.5714,3.834,0.5724
679,3.907,0.545,3.9,0.5471
680,3.951,0.5872,3.942,0.589
681,3.771,0.6059,3.765,0.6112
682,4.132,0.5266,4.081,0.5286
683,3.975,0.5968,3.962,0.5974
684,3.947,0.598,3.94,0.6009
685,3.772,0.617,3.767,0.619
686,4.104,0.5631,4.08,0.5695
687,3.95,0.5676,3.94,0.5688
688,3.75,0.655,3.749,0.6585
689,3.815,0.6456,3.815,0.6456
690,3.858,0.5783,3.858,0.5783
691,3.94,0.6053,3.94,0.6053
692,3.722,0.6269,3.722,0.6269
693,3.761,0.6156,3.75,0.618
694,3.894,0.5948,3.894,0.5948
695,3.88,0.5792,3.855,0.5867
696,4.027,0.552,4.027,0.552
697,4.027,0.5567,4.004,0.5612
698,4.07,0.5303,4.056,0.5345
699,3.92,0.5656,3.92,0.5656
700,3.927,0.5398,3.917,0.5476
701,3.867,0.4919,3.84,0.4995
702,3.808,0.4683,3.795,0.4716
703,3.897,0.5583,3.897,0.5583
704,4.09,0.538,4.09,0.538
705,4.055,0.563,4.055,0.563
706,4.111,0.5531,4.111,0.5531
707,4.186,0.5278,4.186,0.5278
708,4.117,0.5266,4.117,0.5266
709,4.058,0.5506,4.058,0.5506
710,3.972,0.5699,3.965,0.5742
711,3.828,0.5598,3.785,0.5642
712,3.84,0.5708,3.838,0.5736
713,3.911,0.603,3.911,0.603
714,4.023,0.5265,4.005,0.5331
715,3.95,0.5696,3.95,0.5696
716,4.079,0.5267,4.079,0.5267
717,3.898,0.5945,3.858,0.5974
718,4.232,0.4873,4.215,0.4921
719,3.943,0.5527,3.886,0.5532
720,4.009,0.5401,4.009,0.5401
721,3.955,0.5629,3.954,0.5691
722,3.903,0.5417,3.903,0.5417
723,4.325,0.5626,4.311,0.5628
724,3.802,0.5533,3.802,0.5533
725,3.943,0.5231,3.905,0.5253
726,3.938,0.655,3.931,0.6585
727,3.995,0.44,3.978,0.4446
728,4.163,0.4856,4.138,0.49
729,4.099,0.5261,4.099,0.5261
730,4.103,0.5323,4.08,0.5337
731,4.203,0.5352,4.203,0.5352
732,4.384,0.4572,4.38,0.4839
733,4.369,0.4683,4.359,0.4771
734,4.042,0.6043,4.042,0.6043
735,3.889,0.561,3.867,0.5689
736,3.948,0.5256,3.939,0.5282
737,3.898,0.5678,3.885,0.569
738,3.944,0.5297,3.944,0.5297
739,3.83,0.5367,3.825,0.54
740,4.093,0.5365,4.08,0.5371
741,3.95,0.5297,3.941,0.5319
742,4.006,0.5037,3.978,0.5083
743,3.927,0.5353,3.92,0.5437
744,4.141,0.5063,4.134,0.5082
745,3.833,0.5295,3.819,0.5381
746,4.136,0.498,4.12,0.5031
747,4.239,0.494,4.239,0.494
748,4.089,0.5311,4.071,0.5412
749,4.132,0.4869,4.11,0.4872
750,4.038,0.5111,4.028,0.5125
751,3.971,0.5328,3.964,0.5341
752,3.951,0.529,3.95,0.5343
753,3.875,0.5494,3.87,0.5537
754,3.779,0.5752,3.772,0.5753
755,3.705,0.6001,3.702,0.6027
