LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
462,2,90.648,148.939,16.658,-58.292,16.658
463,1,-8.537,-9.535,11.416,0.998,11.416
466,1,56.313,94.171,10.177,-37.858,10.177
466,2,-9.295,-10.11,73.259,0.815,73.259
466,3,48.793,68.761,-0.432,-19.967,-0.432
467,1,-4.946,-5.525,1.577,0.578,1.577
468,1,-9.17,-10.242,18.537,1.072,18.537
473,1,-9.422,-11.074,0.673,1.652,0.673
474,1,-3.224,-3.79,-0.314,0.565,-0.314
475,1,-2.367,-2.782,0.564,0.415,0.564
476,1,-7.72,-9.073,-0.256,1.354,-0.256
476,2,-9.948,-11.693,2.617,1.745,2.617
478,1,-9.283,-10.911,1.074,1.628,1.074
480,1,-8.638,-9.648,42.155,1.01,42.155
481,1,-9.528,-11.199,-0.78,1.671,-0.78
481,2,-5.935,-8.537,56.034,2.602,56.034
482,1,-8.803,-10.347,42.389,1.544,42.389
482,2,65.106,91.749,8.231,-26.643,8.231
484,1,-5.855,-6.882,0.352,1.027,0.352
486,1,56.863,108.388,215.38,-51.525,215.38
486,2,-9.052,-10.11,20.017,1.058,20.017
487,1,12.44,17.53,31.092,-5.091,31.092
487,2,-10.41,-11.627,67.978,1.217,67.978
487,3,13.992,23.398,8.192,-9.406,8.192
488,1,-9.19,-10.802,1.848,1.612,1.848
489,1,-8.579,-10.084,2.048,1.505,2.048
489,2,305.128,385.398,437.141,-80.27,437.141
490,1,-8.419,-9.896,47.28,1.477,47.28
492,1,13.901,22.434,7.093,-8.533,7.093
492,2,-8.787,-10.329,11.339,1.541,11.339
494,1,-8.613,-10.123,16.261,1.51,16.261
495,1,41.284,58.179,41.58,-16.894,41.58
495,2,-9.536,-10.929,8.19,1.394,8.19
496,1,-10.646,-11.891,58.765,1.245,58.765
497,1,116.124,194.194,267.309,-78.069,267.309
497,2,-8.508,-10.0,21.67,1.492,21.67
500,1,44.873,65.86,-1.142,-20.986,-1.142
500,2,-8.762,-9.787,3.08,1.024,3.08
500,3,123.566,228.308,88.361,-104.743,88.361
503,1,118.506,170.466,203.202,-51.959,203.202
503,2,-9.59,-10.15,180.056,0.561,180.056
504,1,-7.892,-8.584,1.54,0.692,1.54
505,1,158.538,265.122,347.505,-106.584,347.505
505,2,-8.784,-10.581,20.126,1.797,20.126
505,3,-8.389,-9.37,0.822,0.981,0.822
505,4,94.613,138.861,91.539,-44.249,91.539
506,1,-8.109,-9.057,-0.507,0.948,-0.507
506,2,-9.895,-11.92,270.823,2.025,270.823
508,1,-8.032,-8.737,7.479,0.704,7.479
509,1,60.284,77.905,-1.072,-17.621,-1.072
509,2,-8.476,-9.467,8.462,0.991,8.462
511,1,-5.22,-5.83,0.674,0.61,0.674
514,1,-9.387,-10.484,0.702,1.097,0.702
516,1,-5.362,-6.303,5.196,0.94,5.196
517,1,7.6,10.711,10.929,-3.11,10.929
517,2,-9.964,-10.255,376.981,0.291,376.981
517,3,35.318,52.868,27.295,-17.55,27.295
518,1,-5.445,-6.241,3.004,0.796,3.004
519,1,30.671,47.705,25.989,-17.034,25.989
519,2,94.248,113.532,11.251,-19.284,11.251
520,1,-1.252,-1.545,-1.02,0.293,-1.02
520,2,172.048,207.251,4.129,-35.203,4.129
521,1,-8.12,-9.306,15.971,1.187,15.971
521,2,176.62,212.758,7.267,-36.138,7.267
522,1,14.432,17.384,9.452,-2.953,9.452
522,2,78.299,105.762,4.78,-27.464,4.78
525,1,2.706,3.259,2.1,-0.554,2.1
527,1,5.611,6.923,8.484,-1.312,8.484
527,2,17.147,25.167,1.73,-8.019,1.73
528,1,-9.125,-9.658,0.0,0.533,0.0
530,1,-8.85,-9.885,3.9,1.035,3.9
530,2,176.362,238.222,15.625,-61.861,15.625
531,1,-9.166,-11.578,4.434,2.411,4.434
531,2,13.755,18.58,12.875,-4.825,12.875
532,1,110.564,142.882,40.469,-32.318,40.469
533,1,-9.376,-11.843,19.797,2.467,19.797
533,2,134.89,174.318,16.931,-39.428,16.931
542,1,33.02,45.568,1.71,-12.547,1.71
544,1,-7.035,-8.475,22.702,1.439,22.702
544,2,41.753,57.618,1.433,-15.866,1.433
546,1,-8.494,-9.983,3.319,1.49,3.319
546,2,-8.801,-10.344,0.431,1.543,0.431
546,3,-8.647,-9.658,0.395,1.011,0.395
547,1,-9.702,-9.702,0.0,0.0,0.0
547,2,-8.492,-9.982,0.894,1.489,0.894
547,3,-8.164,-9.119,0.564,0.955,0.564
